Company name,COUNTA of CC name,,,,,,
Accenture,1,,,,,,
Adani Wilmar Limited,1,,,,,,
Adobe,2,,,,,,
Airtable ,1,,,,,,
amazon,1,,,,,,
Apollyon Dynamics,1,,,,,,
appreiz,1,,,,,,
Arduino,1,,,,,,
Aurenium Capital ,1,,,,,,
Axis Bank,2,,,,,,
barclays,3,,,,,,
BigBasket,2,,,,,,
BrowserStack,1,,,,,,
CADFEM,1,,,,,,
Cap Gemini,1,,,,,,
capgemini,7,,,,,,
Cashfree,1,,,,,,
CBRE,2,,,,,CC name,COUNTA of CC name
clear trip,1,,,,,Aarush,26
Cloudflare,1,,,,,Loyolo,29
Coding Ninjas,2,,,,,Rhaiya,45
Cognizant,5,,,,,Saanvi,28
Coindcx,1,,,,,Shaun,23
cotopaxi,2,,,,,Siri,43
Coursera,2,,,,,Swetha,2
CRED,3,,,,,Vishal,35
Curly tales,1,,,,,(blank),
Cyient,1,,,,,Grand Total,231
Dabur,1,,,,,,
Darwinbox,1,,,,,,
DataBricks,1,,,,,,
DELL,4,,,,,,
Deloitte,2,,,,,,
divami,1,,,,,,
Dream11,3,,,,,,
drogo drone,1,,,,,,
Drogo Drones,1,,,,,,
Enmovil,1,,,,,,
foss united,2,,,,,,
Foundor AI,1,,,,,,
Freshworks,1,,,,,,
Freyr Energy,1,,,,,,
GeeksForGeeks,1,,,,,,
Gen Spark,2,,,,,,
Github,1,,,,,,
GMM Pfaudler,2,,,,,,
Goldman Sachs,1,,,,,,
Groww,1,,,,,,
HashNode,1,,,,,,
HDFC,2,,,,,,
Heritage Foods,1,,,,,,
House of X,1,,,,,,
HP,2,,,,,,
IBM,1,,,,,,
IES Ltd,2,,,,,,
Infiniti,1,,,,,,
infosys,4,,,,,,
InMobi,1,,,,,,
Intel,1,,,,,,
JetBrains,3,,,,,,
Josh Talks,1,,,,,,
JP Morgan,1,,,,,,
Just Dial,2,,,,,,
justeat,1,,,,,,
Kellton,1,,,,,,
Kellton Tech solutions,1,,,,,,
Kotak Mahindra,2,,,,,,
Larsen&Turbo,2,,,,,,
LeetCode,1,,,,,,
Marketing anatomy ,1,,,,,,
Markitup,1,,,,,,
Maruti Suzuki,1,,,,,,
Mcholas,1,,,,,,
Meta,2,,,,,,
Microsoft,6,,,,,,
Monk-e,1,,,,,,
Moonshot,1,,,,,,
morgan stanley,2,,,,,,
MotorQ,1,,,,,,
Mphasis,1,,,,,,
NameCheap,2,,,,,,
Neysa,1,,,,,,
NVIDIA,1,,,,,,
Open ai,1,,,,,,
Pepsi,1,,,,,,
Persistent Systems,1,,,,,,
Postman,1,,,,,,
Prepinsta ,1,,,,,,
PureEv,1,,,,,,
PWC,4,,,,,,
Qualcomm,6,,,,,,
Razorpay,3,,,,,,
Recykal,3,,,,,,
Red Bull,1,,,,,,
RedBull,6,,,,,,
Reliance jio,1,,,,,,
ReNew,1,,,,,,
Replit,1,,,,,,
Samsung,1,,,,,,
Scaler,2,,,,,,
Sirion,1,,,,,,
Starbucks,1,,,,,,
Stardour,1,,,,,,
Story digital ,1,,,,,,
Stripe,3,,,,,,
study abroad canam,1,,,,,,
Subko,1,,,,,,
Subko Coffee ,1,,,,,,
Swiggi,2,,,,,,
TalentSprint,2,,,,,,
tata motors,6,,,,,,
TATA Trusts,1,,,,,,
TCS,2,,,,,,
Tech GIG,2,,,,,,
Tech Mahindra,2,,,,,,
titan,2,,,,,,
Udemy,3,,,,,,
Unacademy,2,,,,,,
urban company,2,,,,,,
vodafone idea limited,1,,,,,,
Vonage,1,,,,,,
Winzo,1,,,,,,
Wipro,7,,,,,,
Wisoft Solutions,1,,,,,,
Yash technologies,3,,,,,,
yellow ai,1,,,,,,
Zenoti,1,,,,,,
zerodha,2,,,,,,
Zerodha           ,1,,,,,,
Zoho,7,,,,,,
(blank),2,,,,,,
Grand Total,231,,,,,,
